0;1.2;-2;3
0;1.2;-2;3
1;1.2;-2;3
2;1.2;-2;3
3;1.2;-2;3
4;1.2;-2;3
5;1.2;-2;3
6;1.2;-2;3
7;1.2;-2;3
8;1.2;-2;3
9;1.2;-2;3
10;1.2;-2;3
11;1.2;-2;3
12;1.2;-2;3
13;1.2;-2;3
14;1.2;-2;3
15;1.2;-2;3
16;1.2;-2;3
17;1.2;-2;3
18;1.2;-2;3
19;1.2;-2;3
20;1.2;-2;3
21;1.2;-2;3
22;1.2;-2;3
23;1.2;-2;3
24;1.2;-2;3
25;1.2;-2;3
26;1.2;-2;3
27;1.2;-2;3
28;1.2;-2;3
29;1.2;-2;3
30;1.2;-2;3
31;1.2;-2;3
32;1.2;-2;3
33;1.2;-2;3
34;1.2;-2;3
35;1.2;-2;3
36;1.2;-2;3
37;1.2;-2;3
38;1.2;-2;3
39;1.2;-2;3
40;1.2;-2;3
41;1.2;-2;3
42;1.2;-2;3
43;1.2;-2;3
44;1.2;-2;3
